customer_id,amount_mean,amount_std,amount_max,amount_min,is_fraud_sum,transaction_id_count
1,68131.1836,27485.836054247924,147609.75,22998.8,0,50
2,103639.10276595745,48843.22456602575,214679.49,30638.2,2,47
3,51499.491500000004,28547.115209042215,131276.98,13545.82,0,20
4,120810.39916666667,42042.801030974646,237926.33,34803.21,3,36
5,61219.286,25127.24750799172,107977.7,14296.81,1,40
6,40128.25837209303,23209.210731590814,96297.29,14008.67,2,43
7,27891.79387096774,16992.346935817644,84844.19,4126.74,2,31
8,14191.011162790697,14743.183806334631,75881.64,18.86,3,43
9,47745.55897435897,25972.186400123235,109064.98,4654.1,5,39
10,23086.507999999998,17115.43185114178,57274.34,1276.23,2,30
11,78888.95133333333,33690.475329086075,155549.25,24288.11,2,45
12,35324.77828571429,21351.224728060133,87644.03,6371.26,1,35
13,39642.30720930232,17523.4933858408,78640.59,9156.9,2,43
14,32408.188181818183,16874.84400787274,87175.74,3057.87,2,44
15,40270.94310344828,18237.885369594584,82879.22,2362.3,0,29
16,85760.06850000001,37338.28337474348,147063.59,24125.69,2,20
17,38671.594,17988.00442404865,72485.93,4726.47,1,40
18,53058.27073170732,24080.658658322904,105244.46,2943.18,3,41
19,23180.045853658536,13212.779129392686,50317.08,681.2,6,41
20,28909.73756097561,19861.35773368412,90538.81,2431.77,1,41
21,92974.16931034483,32447.881593891005,159823.68,37699.88,2,29
22,48850.630689655176,19742.558020972996,92351.25,2384.32,1,29
23,25594.517586206897,19548.571901309726,75472.01,6690.73,0,29
24,59422.69037037037,27166.297327943295,119051.33,21266.23,0,27
25,30864.25333333333,24340.60005502787,106368.29,509.92,2,42
26,58499.97756097561,29116.644076733824,119690.73,13072.33,2,41
27,56702.75594594595,28835.540484791076,115594.52,9862.08,1,37
28,107378.55457142857,45243.28735496463,221029.55,38821.03,0,35
29,38179.672580645165,19129.212190270144,86427.89,8045.81,2,31
30,89882.63104166667,37767.44309082233,157329.59,29568.39,4,48
31,44405.67542857143,22411.623993045287,87163.8,1444.52,3,35
32,22012.328148148146,18345.58545872717,65714.52,569.63,1,27
33,119195.37800000001,44575.55848727004,199944.77,44659.13,2,50
34,73267.8175,30213.557891511635,125050.62,22217.91,1,20
35,58701.95772727273,24389.74366614766,112611.06,10789.06,2,44
36,101100.07411764706,38129.15462173764,181752.23,35322.4,0,34
37,83367.60653846154,37556.00273973246,159282.65,37733.14,2,26
38,17443.04611111111,13563.95520186272,59124.45,757.59,2,36
39,57869.701,22945.455078099523,116383.83,23093.57,1,20
40,23101.7524,17006.137617332522,62142.76,2055.23,3,25
41,61356.73512195122,23946.430105493713,106012.26,22800.36,3,41
42,83299.39625,28668.765990566873,145103.91,26881.83,2,48
43,37457.30837837838,30554.415758563857,138498.01,4273.33,1,37
